PETAL_LOC,DEVICE_LOC,TARGET_RA,TARGET_DEC,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_FINAL,EXPID,PETAL,DEVICE,DEVICE_TYPE,LOCATION,FIBER,X,Y,Z,Q,S,SPECTRO,SLIT,SLITBLOCK,BLOCKFIBER,POSITIONER,SPECTROGRAPH,date_obs,petal_id,device_loc,pos_id,pos_move_index,time_recorded,bus_id,pos_t,pos_p,last_meas_obs_x,last_meas_obs_y,last_meas_peak,last_meas_fwhm,total_move_sequences,total_cruise_moves_t,total_cruise_moves_p,total_creep_moves_t,total_creep_moves_p,ctrl_enabled,move_cmd,move_val1,move_val2,log_note,exposure_id,exposure_iter,flags,obs_x,obs_y,ptl_x,ptl_y,ptl_z,site
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.09178235124467012,0.012041594578792296,44447,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-27 06:13:42.405108+00:00,10,435,M04804,3275,2020-01-27 06:13:28.361439+00:00,can22,40.7330005654436,164.794820323927,-74.84,345.373,0.969006513319661,2.054,7192,2622,2492,20661,20791,True,,,,,,,,,,,,,kpno
5,435,37.44682504447938,1.7256128275705525,-75.01774,345.57407,0.10778682665335314,0.011180339887498947,44383,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-27 04:10:03.884877+00:00,10,435,M04804,3249,2020-01-27 04:09:46.292332+00:00,can22,-30.7941616679987,156.781422737402,-76.842,345.846,0.969006513319661,2.054,7183,2620,2490,20615,20745,True,,,,,,,,,,,,,kpno
5,435,37.44682504447938,1.7256128275705525,-75.01774,345.57407,0.06746851117373201,0.001414213562373095,44387,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-27 04:53:36.268313+00:00,10,435,M04804,3257,2020-01-27 04:54:21.138469+00:00,can22,-33.0798543840481,155.282131626291,-74.903,345.385,0.969006513319661,2.054,7186,2620,2490,20627,20757,True,,,,,,,,,,,,,kpno
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.00806225774829855,0.008602325267042627,44452,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-27 06:58:25.306124+00:00,10,435,M04804,3285,2020-01-27 06:59:09.271914+00:00,can22,35.0005389605053,165.125624768372,-74.947,343.975,0.969006513319661,2.054,7195,2623,2492,20672,20803,True,,,,,,,,,,,,,kpno
5,435,37.44790007481356,1.7251707058234547,-75.28692,345.45926,0.11960351165413162,0.0058309518948453,44517,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 03:32:53.929024+00:00,10,435,M04804,3300,2020-01-28 03:32:36.950026+00:00,can22,-17.8196273345559,154.14569833684,-74.946,343.987,0.969006513319661,2.054,7200,2625,2494,20698,20829,True,,,,,,,,,,,,,kpno
5,435,37.44790007481356,1.7251707058234547,-75.28692,345.45926,0.06862215385719105,0.004472135954999579,44522,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 04:23:38.710544+00:00,10,435,M04804,3308,2020-01-28 04:24:23.823078+00:00,can22,-20.7547757296176,152.578230682519,-75.219,345.297,0.969006513319661,2.054,7203,2625,2494,20710,20841,True,,,,,,,,,,,,,kpno
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.08305419917138447,0.021540659228538015,44525,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 04:56:11.905046+00:00,10,435,M04804,3314,2020-01-28 04:55:51.368773+00:00,can22,40.7624013074195,164.671860188692,-75.144,345.263,0.969006513319661,2.054,7206,2626,2495,20725,20856,True,,,,,,,,,,,,,kpno
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.07802563681252464,0.005,44526,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 05:03:09.847003+00:00,10,435,M04804,3324,2020-01-28 05:02:48.936789+00:00,can22,40.774554517296,164.671267349185,-74.957,343.97,0.969006513319661,2.054,7210,2628,2495,20743,20876,True,,,,,,,,,,,,,kpno
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.00806225774829855,0.012529964086141668,44533,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 05:49:49.372732+00:00,10,435,M04804,3333,2020-01-28 05:50:33.337563+00:00,can22,35.9340199493948,165.398385003506,-74.942,343.964,0.969006513319661,2.054,7213,2629,2495,20754,20888,True,,,,,,,,,,,,,kpno
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.0022360679774997894,0.001414213562373095,44537,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 06:28:29.523325+00:00,10,435,M04804,3338,2020-01-28 06:29:13.196933+00:00,can22,35.9266094555676,165.198301670173,-74.943,343.971,0.969006513319661,2.054,7215,2629,2495,20762,20896,True,,,,,,,,,,,,,kpno
5,435,105.37301862751535,39.359870092573246,-73.33526,341.40018,0.130862523283024,0.009486832980505138,44544,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 07:24:08.585593+00:00,10,435,M04804,3344,2020-01-28 07:23:48.680868+00:00,can22,144.061424640753,116.729818583753,-74.948,343.972,0.969006513319661,2.054,7218,2630,2496,20777,20911,True,,,,,,,,,,,,,kpno
5,435,105.37349658694112,39.36041719162542,-73.42997,341.5475,0.1213424904969401,0.006403124237432849,44559,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 07:54:58.260347+00:00,10,435,M04804,3354,2020-01-28 07:54:38.404684+00:00,can22,141.253736739518,120.600467719556,-73.301,341.231,0.969006513319661,2.054,7222,2630,2496,20796,20930,True,,,,,,,,,,,,,kpno
5,435,147.93477062360597,32.076579194384536,-71.75061,345.90225,0.09508417323613852,0.007280109889280519,44594,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 09:01:43.404182+00:00,10,435,M04804,3363,2020-01-28 09:01:29.952490+00:00,can22,-115.522245729618,127.746851546716,-73.372,341.378,0.969006513319661,2.054,7226,2631,2497,20815,20949,True,,,,,,,,,,,,,kpno
5,435,147.93477062360597,32.076579194384536,-71.75061,345.90225,0.0196468827043885,0.008602325267042627,44599,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-28 09:46:08.927552+00:00,10,435,M04804,3372,2020-01-28 09:46:53.651655+00:00,can22,-113.435450667889,127.032479941778,-71.725,345.715,0.969006513319661,2.054,7229,2631,2497,20827,20961,True,,,,,,,,,,,,,kpno
